Codigo;Cod Barras;Nome;Venda;
30496;7896042028910;GRAN BOX BAIXA 9 3L 2891 PLASUTIL;24,90;
572920;7896042084084;GRAN BOX BAIXA ALCA TRAVA 410ML 8408 PLASUT;5,99;
572944;7896042087122;GRAN BOX C/ALCA E TRAVA URSA 9,3L 8712 PLAS;39,90;
572945;7896042087115;GRAN BOX C/ALCA E TRAVA URSO 9,3L 8711 PLAS;39,90;
572911;7896042083384;GRAN BOX C/ALCA TRAVA 2,6L 8338 PLASUTIL;14,90;
566822;7896575100299;GRANDE JOGOS;38,90;
548105;7891772141502;GRANOLA DIET 250G 15142 KOBBER;3,99;
11822;7898239843825;GRANOLA FITOTEMP 150G;0,00;
547439;7896058501506;GRANULADO P/COBERTURA 150G DORI;3,49;
15462;7896058503302;GRANULADO P/COBERTURA DORI 300G;4,99;
559341;7869315003570;GRAVATA BORBOLETA TECIDO PR Q00357;0,00;
561290;7869315007844;GRAVATA PLAST NEON Q00784 12;0,00;
558927;5589272;GRAVATA ZIPER LISA+;0,00;
550092;7898905453594;GRAVIOLA QUALITEMP;1,25;
525;5258;GRAVURA APRESENTADA EM DIVERSO L51-3;0,00;
33022;7898101720902;GRAXINHA DIMEC;0,00;
552060;7896020631248;GRELHA ALUMINIO MID 3124;19,90;
563554;7896502859610;GRELHA DUPLA INOX N2 78X21CM;14,90;
563553;7896502859603;GRELHA DUPLA INOX N3 89X27CM;19,90;
563552;7896502859597;GRELHA INOX N2 66 5X28CM;28,90;
563551;7896502859580;GRELHA INOX N3 74 5X40CM;36,90;
585439;7908281365975;GRELHA QD P/ CHURRASCO 27,5CM CZB08025;68,90;
585440;7908281365982;GRELHA RD P/ CHURRASCO 28,5CM CZB08026;68,90;
585441;7908281365968;GRELHA RT P/ CHURRASCO 30X18CM CZB08024;68,90;
1709;7896336000578;GRELHADITO S/PELE 60G 305;1,50;
3099;7896336006471;GRELHADITOS O VERDINHO STA HELENA 30GR;0,50;
557297;7896276912085;GREMIO FAIXA ANIV/PARABENS C/1 UND 1610;9,90;
557298;7896276912139;GREMIO GUARDANAPO ANIVERSARIO C/20 1615;5,90;
557299;7896276912405;GREMIO MEGA PAINEL DEC 108X64CM C/1 1642;18,90;
548173;7896502827336;GRILL 1,35L CERAMICLIFE 4755324 BRINOX;79,90;
564715;7908314206268;GRILL 24CM PROMO BRINOX;39,00;
568032;7896502875634;GRILL 24X24X35CM 1,3L CURRY;18,15;
562569;7898221456309;GRILL CERAMIC GRILL GRL350127;179,90;
562570;7898221456316;GRILL CERAMIC GRILL GRL350220;179,90;
586578;7896502839179;GRILL CHILLI 24CM 750ML VERMELHO 7016/358;49,90;
573719;8031125000004;GRILL MINT AZUL 24CM 540232 BRINOX;49,90;
586577;7896502842421;GRILL SALSA 24CM 750ML CINZA 7017/358;49,90;
546385;7898932354680;GRISSINI INTEG LINHACA 200G LA URUGUAYA;3,99;
549132;7891114051087;GROSSA REDONDA TRAMONTINA;0,00;
571173;5711734;GRUPO GERADOR CARTERPILLAR CLES02180 PERKUNSOLYMPIAN;0,00;
555526;7896020690870;GT FARROUPILHA 1,0L BEGE 6;29,90;
555527;7896020691129;GT FARROUPILHA 1,0L PRETA 6;29,90;
549997;7898905453617;GUACO QUALITEMP;1,25;
411332;7898484071158;GUADA CHUVA FEM ESTILO FK7115;23,90;
583522;5835225;GUAMPA DE TERERE BS;0,00;
567973;7899806906868;GUARDA CHUV RETR CAB RETO AUT TEXTIL CO20017;24,90;
554643;6920897732249;GUARDA CHUVA 4160 UMBRELLAS;28,90;
554667;6920897731815;GUARDA CHUVA 6005F HLJW;29,90;
574594;7899687401704;GUARDA CHUVA 60CM POA RNW561 REAL;24,90;
554647;6920897731570;GUARDA CHUVA 7073 UMBRELLAS;12,90;
570294;7899806906875;GUARDA CHUVA ATM PRETO CO20018 YINS;49,90;
